"ID","PROJECT_NAME","NAME_BRANCH_WORK","ARTIFACT_ID_PARENT","ARTIFACT_ID","PROVEDOR","PROJECT_DESCRIPTION","LINK_CERTIFICATION","TITULO_CERTIFICATION","ARTIFACT_ID_SUB_CERTIFICATON","LINK_GITHUB"
1,"Certificações Amazon Web Services – AWS (certificacoes-aws)","provedor-aws","provedor-nuvem-certifications","certificacoes-aws","Amazon Web Services – AWS","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de trabalho operacional das stack de um desenvolvedor cloud especificamente para o provedor de nuvem Amazon Web Services – AWS!","#linkaqui","Certificações Amazon Web Services – AWS (certificacoes-aws)",,"https://github.com/pssilva"
2,"Provedor Amazon Web Services – AWS: _**Certificação AWS Cloud Practitioner**_
","provedor-aws","certificacoes-aws","aws-cloud-practitioner-certification","Amazon Web Services – AWS","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo 
de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Amazon Web Services – AWS!""","#linkaqui","Provedor Amazon Web Services – AWS: _**Certificação AWS Cloud Practitioner**_","aws-cloud-practitioner-certification","https://github.com/pssilva"
3,"Provedor Amazon Web Services – AWS: _**Certificação AWS Certified DevOps Engineer – Professional**_","provedor-aws","certificacoes-aws","aws-devops-engineer-professional","Amazon Web Services – AWS","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo 
de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Amazon Web Services – AWS!""","#linkaqui","Provedor Amazon Web Services – AWS: _**Certificação AWS Certified DevOps Engineer – Professional**_","aws-devops-engineer-professional","https://github.com/pssilva"
4,"Certificações Microsoft Azure - MZ (certificacoes-azure)","provedor-azure","provedor-nuvem-certifications","certificacoes-azure","Microsoft Azure – MZ","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem [Microsoft Azure](https://azure.microsoft.com/pt-br/)!","#linkaqui","Certificações Microsoft Azure - MZ (certificacoes-azure)",,"https://github.com/pssilva"
5,"Certificação Microsoft Certified: Azure Fundamentals (AZ-900)","provedor-azure","certificacoes-azure","azure-fundamentals-az900","Microsoft Azure – MZ","Provedor Microsoft Azure - MZ: _**[Certificação Microsoft Certified: Azure Fundamentals (AZ-900)](https://learn.microsoft.com/pt-br/credentials/certifications/azure-fundamentals/?practice-assessment-type=certification)**_","#linkaqui","Certificação Microsoft Certified: Azure Fundamentals (AZ-900)","azure-fundamentals-az900","https://github.com/pssilva"
6,"Certificações Google Cloud Platform – GCP (certificacoes-gcp)","provedor-gcp","provedor-nuvem-certifications","certificacoes-gcp","Google Cloud Platform – GCP","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Google Cloud Platform – GCP!","#linkaqui","Certificações Google Cloud Platform – GCP (certificacoes-gcp)",,"https://github.com/pssilva"
7,"Heroku – Plataform Cloud (certificacoes-hpc)","provedor-hpc","provedor-nuvem-certifications","certificacoes-hpc","Heroku – Plataform Cloud","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Heroku – Plataform Cloud!","#linkaqui","Certificações Heroku – Plataform Cloud",,"https://github.com/pssilva"
8,"Oracle Cloud Infrastructure","provedor-oci","provedor-nuvem-certifications","certificacoes-oci","Oracle Cloud Infrastructure","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Oracle Cloud!","#linkaqui","Certificações Oracle Cloud Infrastructure",,"https://github.com/pssilva"
9,"RedHat OpenShift","provedor-rh-openshift","provedor-nuvem-certifications","certificacoes-rh-openshift","RedHat OpenShift","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem RedHat OpenShift!","#linkaqui","Certificações RedHat OpenShift",,"https://github.com/pssilva"
10,"Spring Cloud","provedor-sp","provedor-nuvem-certifications","certificacoes-sp","Spring Cloud","Projeto prova de conceito - POC para aplicar os conhecimentos abstratos relacionados ao protocolo de _**Trabalho Operacional das stack de um Desenvolvedor Cloud**_ especificamente para o provedor de nuvem Spring Cloud!","#linkaqui","Certificações Spring Cloud",,"https://github.com/pssilva"
11,"Nome do Projeto XPTO 1","provedor-oci","provedor-nuvem-certifications","certificacoes-oci","Provedor XPTO 1","Descrição sucinta aqui para OCI","https://education.oracle.com/pt_BR/oracle-certification-path/pFamily_647","Titulo Certificação XPTO 1","sub-provedor-1","https://github.com/pssilva"
12,"Nome do Projeto XPTO 2","provedor-aws","provedor-nuvem-certifications","certificacoes-aws","Provedor XPTO 2","eeeeeeeeeeeeeeeee","linkaqui","Titulo Certificação XPTO 2","sub-provedor-2","https://github.com/pssilva"
